# Match score is a heuristic combining Tpeak, WD mass, WD composition, and initial abundance distance.
# Property match score uses only Iliadis Table 1 properties: Tpeak, WD mass, and WD composition.
# Lower score is better. Composition/mass are inferred from case names when available.
case	trajectory	initial_abundance	case_wd_composition	case_wd_mass_msun	case_tpeak_gk	case_peak_rho_cgs	trajectory_points	iliadis_model	iliadis_model_label	iliadis_wd_composition	iliadis_wd_mass_msun	iliadis_tpeak_gk	abs_tpeak_diff_gk	abs_mass_diff_msun	composition_match	initial_abundance_rms_log10	initial_abundance_l1	property_match_score	match_score
ne_nova_1.3_7_B_weiss_mixed	nova_cases/ne_nova_1.3_7_B_weiss_mixed/trajectory_ne_nova_1.3_7_B_weiss_mixed.input	nova_cases/ne_nova_1.3_7_B_weiss_mixed/iniab_ne_nova_1.3_7_B_weiss_mixed.dat	ONe	1.300	0.4356	1.670240E+03	387	S1	S1	ONe	1.350	0.418	0.0176	0.050	True	8.333205	1.837898E-01	0.852000	3.852000
ne_nova_1.3_7_B_weiss_mixed	nova_cases/ne_nova_1.3_7_B_weiss_mixed/trajectory_ne_nova_1.3_7_B_weiss_mixed.input	nova_cases/ne_nova_1.3_7_B_weiss_mixed/iniab_ne_nova_1.3_7_B_weiss_mixed.dat	ONe	1.300	0.4356	1.670240E+03	387	JCH2	JCH 2	ONe	1.250	0.251	0.1846	0.050	True	0.728857	1.926719E-01	4.192000	4.920857
ne_nova_1.3_7_B_weiss_mixed	nova_cases/ne_nova_1.3_7_B_weiss_mixed/trajectory_ne_nova_1.3_7_B_weiss_mixed.input	nova_cases/ne_nova_1.3_7_B_weiss_mixed/iniab_ne_nova_1.3_7_B_weiss_mixed.dat	ONe	1.300	0.4356	1.670240E+03	387	P2	P2	ONe	1.350	0.356	0.0796	0.050	True	8.333205	1.837898E-01	2.092000	5.092000
ne_nova_1.3_7_B_weiss_mixed	nova_cases/ne_nova_1.3_7_B_weiss_mixed/trajectory_ne_nova_1.3_7_B_weiss_mixed.input	nova_cases/ne_nova_1.3_7_B_weiss_mixed/iniab_ne_nova_1.3_7_B_weiss_mixed.dat	ONe	1.300	0.4356	1.670240E+03	387	JCH1	JCH 1	ONe	1.150	0.231	0.2046	0.150	True	0.728857	1.926719E-01	5.592000	6.320857
ne_nova_1.3_7_B_weiss_mixed	nova_cases/ne_nova_1.3_7_B_weiss_mixed/trajectory_ne_nova_1.3_7_B_weiss_mixed.input	nova_cases/ne_nova_1.3_7_B_weiss_mixed/iniab_ne_nova_1.3_7_B_weiss_mixed.dat	ONe	1.300	0.4356	1.670240E+03	387	P1	P1	ONe	1.250	0.290	0.1456	0.050	True	8.333205	1.837898E-01	3.412000	6.412000
ne_nova_1.3_7_B_weiss_mixed	nova_cases/ne_nova_1.3_7_B_weiss_mixed/trajectory_ne_nova_1.3_7_B_weiss_mixed.input	nova_cases/ne_nova_1.3_7_B_weiss_mixed/iniab_ne_nova_1.3_7_B_weiss_mixed.dat	ONe	1.300	0.4356	1.670240E+03	387	JH2	JH 2	CO	1.000	0.170	0.2656	0.300	False	1.092312	5.856752E-01	11.312000	12.404312
ne_nova_1.3_7_B_weiss_mixed	nova_cases/ne_nova_1.3_7_B_weiss_mixed/trajectory_ne_nova_1.3_7_B_weiss_mixed.input	nova_cases/ne_nova_1.3_7_B_weiss_mixed/iniab_ne_nova_1.3_7_B_weiss_mixed.dat	ONe	1.300	0.4356	1.670240E+03	387	JH1	JH 1	CO	0.800	0.145	0.2906	0.500	False	1.032137	7.492453E-01	13.812000	14.844137
nova_test	nova_cases/nova_test/ppn/trajectory.input	nova_cases/nova_test/ppn/initial_abundance.dat			0.2314	2.919950E+02	805	JCH1	JCH 1	ONe	1.150	0.231	0.0004			0.003837	9.024572E-03	7.007800	7.011637
nova_test	nova_cases/nova_test/ppn/trajectory.input	nova_cases/nova_test/ppn/initial_abundance.dat			0.2314	2.919950E+02	805	JCH2	JCH 2	ONe	1.250	0.251	0.0196			0.003837	9.024572E-03	7.392200	7.396037
nova_test	nova_cases/nova_test/ppn/trajectory.input	nova_cases/nova_test/ppn/initial_abundance.dat			0.2314	2.919950E+02	805	JH2	JH 2	CO	1.000	0.170	0.0614			1.147369	5.059214E-01	8.227800	9.375169
nova_test	nova_cases/nova_test/ppn/trajectory.input	nova_cases/nova_test/ppn/initial_abundance.dat			0.2314	2.919950E+02	805	JH1	JH 1	CO	0.800	0.145	0.0864			1.094243	7.455206E-01	8.727800	9.822043
nova_test	nova_cases/nova_test/ppn/trajectory.input	nova_cases/nova_test/ppn/initial_abundance.dat			0.2314	2.919950E+02	805	P1	P1	ONe	1.250	0.290	0.0586			8.696359	3.588216E-01	8.172200	11.172200
nova_test	nova_cases/nova_test/ppn/trajectory.input	nova_cases/nova_test/ppn/initial_abundance.dat			0.2314	2.919950E+02	805	P2	P2	ONe	1.350	0.356	0.1246			8.696359	3.588216E-01	9.492200	12.492200
nova_test	nova_cases/nova_test/ppn/trajectory.input	nova_cases/nova_test/ppn/initial_abundance.dat			0.2314	2.919950E+02	805	S1	S1	ONe	1.350	0.418	0.1866			8.696359	3.588216E-01	10.732200	13.732200
ppn_nova	nova_cases/ppn_nova/trajectory.input	nova_cases/ppn_nova/initial_abundance.dat			0.2361	2.952840E+02	805	JCH1	JCH 1	ONe	1.150	0.231	0.0051			1.024984	4.697185E-01	7.102000	8.126984
ppn_nova	nova_cases/ppn_nova/trajectory.input	nova_cases/ppn_nova/initial_abundance.dat			0.2361	2.952840E+02	805	JCH2	JCH 2	ONe	1.250	0.251	0.0149			1.024984	4.697185E-01	7.298000	8.322984
ppn_nova	nova_cases/ppn_nova/trajectory.input	nova_cases/ppn_nova/initial_abundance.dat			0.2361	2.952840E+02	805	JH2	JH 2	CO	1.000	0.170	0.0661			0.661843	6.634818E-02	8.322000	8.983843
